Date,Open,High,Low,Close,Volume
2020-01-02,2161.55,2200.57,2161.42,2200.1,21369888
2020-01-03,2192.31,2192.31,2159.03,2173.97,20627251
2020-01-04,2192.31,2192.31,2159.03,2173.97,20627251
2020-01-05,2192.31,2192.31,2159.03,2173.97,20627251
2020-01-06,2192.31,2192.31,2159.03,2173.97,20627251
2020-01-07,2171.72,2176.8,2143.11,2145.01,19556434
2020-01-08,2140.29,2140.29,2114.24,2115.99,20739943
2020-01-09,2132.02,2157.61,2132.02,2157.61,19887696
2020-01-10,2161.6,2167.91,2150.83,2167.91,16496395
2020-01-11,2161.6,2167.91,2150.83,2167.91,16496395
2020-01-12,2170.86,2194.42,2167.33,2194.42,22067379
2020-01-13,2170.86,2194.42,2167.33,2194.42,22067379
2020-01-14,2194.88,2194.88,2174.44,2182.96,29388336
2020-01-15,2180.55,2183.85,2158.36,2165.08,22745340
2020-01-16,2170.39,2179.43,2163.83,2173.74,20756877
2020-01-17,2172.14,2181.62,2147.94,2175.95,19782963
2020-01-18,2178.31,2183.84,2173.92,2178.06,15631644
2020-01-19,2178.31,2183.84,2173.92,2178.06,15631644
2020-01-20,2178.31,2183.84,2173.92,2178.06,15631644
2020-01-21,2174.93,2174.93,2152.62,2158.04,18927569
2020-01-22,2168.44,2172.76,2144.68,2146.56,27440004
2020-01-23,2144.56,2159.55,2141.62,2148.41,22561743
2020-01-24,2150.57,2166.31,2150.57,2154.28,17630461
2020-01-25,2141.68,2141.68,2083.69,2083.79,20984119
2020-01-26,2141.68,2141.68,2083.69,2083.79,20984119
2020-01-27,2141.68,2141.68,2083.69,2083.79,20984119
2020-01-28,2089.16,2105.76,2083.54,2098.04,17437951
2020-01-29,2099.3,2114.31,2090.41,2098.18,25644144
2020-01-30,2078.74,2093.68,2064.09,2079.98,23189128
2020-01-31,2085.41,2087.93,2052.68,2065.9,38290087
2020-02-01,2085.41,2087.93,2052.68,2065.9,38290087
2020-02-02,2085.41,2087.93,2052.68,2065.9,38290087
2020-02-03,2062.33,2077.58,2050.91,2072.88,25394120
2020-02-04,2082.19,2115.25,2081.81,2106.63,32249751
2020-02-05,2106.64,2133.91,2102.45,2122.91,21929283
2020-02-06,2128.24,2138.87,2105.59,2111.76,23411969
2020-02-07,2107.43,2110.2,2092.36,2110.2,18963173
2020-02-08,2107.43,2110.2,2092.36,2110.2,18963173
2020-02-09,2107.43,2110.2,2092.36,2110.2,18963173
2020-02-10,2108.67,2112.78,2087.72,2092.89,16134600
2020-02-11,2099.2,2114.89,2094.39,2107.4,21356120
2020-02-12,2120.01,2132.78,2115.92,2126.31,21380076
2020-02-13,2125.22,2125.22,2096.14,2120.07,19110037
2020-02-14,2126.64,2131.28,2111.22,2115.29,20893159
2020-02-15,2125.14,2131.6,2117.45,2121.14,14217981
2020-02-16,2125.14,2131.6,2117.45,2121.14,14217981
2020-02-17,2125.14,2131.6,2117.45,2121.14,14217981
2020-02-18,2112.15,2118.48,2103.76,2113.49,13882294
2020-02-19,2116.32,2122.67,2097.07,2115.18,21465468
2020-02-20,2115.39,2116.08,2098.12,2099.88,20482243
2020-02-21,2095.8,2106.18,2084.55,2088.53,16533483
2020-02-22,2095.8,2106.18,2084.55,2088.53,16533483
2020-02-23,2095.8,2106.18,2084.55,2088.53,16533483
2020-02-24,2070.66,2070.66,1997.84,2000.9,25032229
2020-02-25,2000.65,2007.34,1945.71,1945.71,32357249
2020-02-26,1942.66,1957.64,1906.06,1933.51,33550737
2020-02-27,1926.15,1927.44,1833.92,1850.61,33425936
2020-02-28,1817.79,1817.79,1735.37,1768.91,70088832
2020-03-01,1807.25,1840.57,1765.43,1807.7,40207534
2020-03-02,1807.25,1840.57,1765.43,1807.7,40207534
2020-03-03,1827.36,1906.87,1827.36,1889.67,39063455
2020-03-04,1882.71,1894.23,1857.9,1860.95,28135069
2020-03-05,1879.11,1893.88,1822.76,1822.85,25502227
2020-03-06,1808.36,1808.36,1749.7,1764.81,34436845
2020-03-07,1808.36,1808.36,1749.7,1764.81,34436845
2020-03-08,1685.28,1697.38,1609.08,1625.99,40494707
2020-03-09,1685.28,1697.38,1609.08,1625.99,40494707
2020-03-10,1643.34,1657.09,1594.07,1599.48,39334266
2020-03-11,1607.3,1616.03,1495.87,1505.64,44940270
2020-03-12,1450.71,1450.71,1305.73,1305.73,57193099
2020-03-13,1334.37,1442.72,1315.96,1365.97,74136137
2020-03-14,1334.37,1442.72,1315.96,1365.97,74136137
2020-03-15,1342.4,1356.01,1248.77,1341.54,64568981
2020-03-16,1342.4,1356.01,1248.77,1341.54,64568981
2020-03-17,1370.79,1446.74,1355.07,1429.28,81569696
2020-03-18,1425.27,1465.58,1376.75,1401.29,78265426
2020-03-19,1406.71,1469.43,1386.83,1469.43,51612015
2020-03-20,1502.14,1547.74,1476.65,1488.42,109516157
2020-03-21,1502.14,1547.74,1476.65,1488.42,109516157
2020-03-22,1502.14,1547.74,1476.65,1488.42,109516157
2020-03-23,1461.22,1463.93,1400.71,1405.45,43978401
2020-03-24,1449.34,1473.02,1424.14,1451.02,37402637
2020-03-25,1487.75,1505.79,1413.22,1441.83,47382329
2020-03-26,1431.53,1492.87,1410.91,1492.01,36791461
2020-03-27,1494.31,1499.62,1465.48,1475.9,33221292
2020-03-28,1494.31,1499.62,1465.48,1475.9,33221292
2020-03-29,1482.1,1484.62,1443.16,1477.65,28425038
2020-03-30,1482.1,1484.62,1443.16,1477.65,28425038
2020-03-31,1486.89,1523.49,1484.33,1512.84,59768681
2020-04-01,1495.43,1500.43,1473.64,1482.42,36501160
2020-04-02,1490.41,1501.33,1464.86,1491.55,48115276
2020-04-03,1492.1,1509.07,1474.44,1506.48,49706290
2020-04-04,1492.1,1509.07,1474.44,1506.48,49706290
2020-04-05,1534.81,1585.04,1534.81,1581.05,45607978
2020-04-06,1534.81,1585.04,1534.81,1581.05,45607978
2020-04-07,1602.14,1655.29,1602.14,1603.5,64702693
2020-04-08,1602.33,1619.63,1567.84,1579.18,55926360
2020-04-09,1596.79,1619.77,1579.72,1615.72,50387984
2020-04-10,1596.79,1619.77,1579.72,1615.72,50387984
2020-04-11,1526.79,1619.77,1579.72,1615.72,50387984
2020-04-12,1526.79,1619.77,1519.72,1615.72,50387984
2020-04-13,1631.5,1664.53,1625.89,1662.4,46442620
2020-04-14,1631.5,1664.53,1625.89,1662.4,46442620
2020-04-15,1669.23,1673.58,1602.31,1606.21,50591639
2020-04-16,1610.81,1617.55,1589.83,1597.9,43492790
2020-04-17,1618.42,1633.53,1612.01,1625.59,41660521
2020-04-18,1618.42,1633.53,1612.01,1625.59,41660521
2020-04-19,1629.69,1643.87,1604.98,1640.06,28317660
2020-04-20,1629.69,1643.87,1604.98,1640.06,28317660
2020-04-21,1631.4,1631.4,1572.05,1573.44,33518434
2020-04-22,1574.07,1609.82,1554.34,1605.12,32625994
2020-04-23,1609.41,1626.82,1589.64,1626.1,30890017
2020-04-24,1617.91,1627.49,1601.91,1601.91,26303916
2020-04-25,1617.91,1627.49,1601.91,1601.91,26303916
2020-04-26,1614.29,1624.69,1580.48,1591.97,34025549
2020-04-27,1614.29,1624.69,1580.48,1591.97,34025549
2020-04-28,1590.34,1622.8,1579.94,1594.25,37309050
2020-04-29,1601.65,1656.4,1600.78,1651.33,35813382
2020-04-30,1661.23,1682.13,1636.35,1648.68,46692062
2020-05-01,1630.24,1630.24,1597.7,1600.65,23786804
2020-05-02,1609.04,1616.34,1591.58,1598.84,22424621
2020-05-03,1604.6,1606.44,1565.07,1567.98,34612015
2020-05-04,1572.16,1602.76,1559.06,1587.35,21763522
2020-05-05,1600.54,1614.18,1599.51,1606.5,15375851
2020-05-06,1614.21,1619.36,1581.5,1587.31,17939326
2020-05-07,1589.69,1624.52,1584.01,1622.51,29571887
2020-05-08,1615.9,1634.77,1607,1614.32,24392087
2020-05-09,1605.68,1605.68,1559.52,1579.16,26391998
2020-05-10,1585.51,1597.04,1568.38,1572.55,18369715
2020-05-11,1585.92,1639.08,1585.92,1639.08,29449606
2020-05-12,1651.08,1658.34,1629.29,1640.18,24494948
2020-05-13,1640.26,1662.2,1634.44,1652.64,24022509
2020-05-14,1651.03,1653.92,1636.24,1637.84,22155298
2020-05-15,1632.27,1635.98,1617.76,1630.44,19967851
2020-05-16,1639.26,1650.39,1634.34,1644.74,12109905
